sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMN39507646	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507648	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507649	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507649	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507650	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507651	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507651	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507652	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507652	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507653	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507654	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507655	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507655	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507655	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507655	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507656	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507656	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507656	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507657	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507657	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507657	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507658	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN39507658	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507658	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507659	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507659	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507659	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507660	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507660	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507661	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507661	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507661	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507661	tet(L)	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	atb
NA	NA	SAMN39507662	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507663	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507663	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507663	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507664	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507665	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507666	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507667	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507667	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507668	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507668	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507669	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507670	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507670	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507670	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507671	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507671	mef(A)	Erythromycin, Azithromycin	atb
