sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMN00761820	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197535	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197535	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN03197535	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197535	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197535	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN03197643	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197643	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN03197643	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197643	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197975	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197975	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN19353788	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN19353788	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN19353788	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN19353788	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN19353788	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN19353788	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN41327468	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41327468	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41328995	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
