sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMN30578103	NA	NA	atb
NA	NA	SAMN30578104	NA	NA	atb
NA	NA	SAMN30578109	NA	NA	atb
NA	NA	SAMN41327335	NA	NA	atb
NA	NA	SAMN41327393	NA	NA	atb
NA	NA	SAMN41327480	NA	NA	atb
NA	NA	SAMN41327635	NA	NA	atb
NA	NA	SAMN41327658	NA	NA	atb
NA	NA	SAMN41327946	NA	NA	atb
NA	NA	SAMN41327949	NA	NA	atb
NA	NA	SAMN41328075	NA	NA	atb
NA	NA	SAMN41328276	NA	NA	atb
NA	NA	SAMN41328401	NA	NA	atb
NA	NA	SAMN41328497	NA	NA	atb
NA	NA	SAMN41328510	NA	NA	atb
NA	NA	SAMN41328522	NA	NA	atb
NA	NA	SAMN41328533	NA	NA	atb
NA	NA	SAMN41328578	NA	NA	atb
NA	NA	SAMN41328579	NA	NA	atb
NA	NA	SAMN41328599	NA	NA	atb
NA	NA	SAMN41328600	NA	NA	atb
NA	NA	SAMN41328611	NA	NA	atb
NA	NA	SAMN41328612	NA	NA	atb
NA	NA	SAMN41328623	NA	NA	atb
NA	NA	SAMN41328894	NA	NA	atb
NA	NA	SAMN41336161	NA	NA	atb
NA	NA	SAMN41336781	NA	NA	atb
NA	NA	SAMN41336935	NA	NA	atb
