user_genome	classification	species
131Cm-CMPN001x37_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	N/A
132Cs-CMPN001x38_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp001556435
140Ca-CMPN001x64_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	hominis
140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp030825805
141Ap-CMPN001x66_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis_N
145Cm-CMPN001x68_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	oralis_K
145Csv-CMPN001x67_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	oralis_K
146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	xiaochunlingii
148Cm-CMPN001x70_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp000314775
149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp036663675
149As-CMPN001x72_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_E
149Cc-CMPN001x73_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	constellatus
150Cp-CMPN001x74_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis
151Cm-CMPN001x75_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	oralis_T
155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_E
160Ap-CMPN001x77_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis_D
55Csv-CMPN001x05_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_D
90Pim-CMPN001x42_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp001553685
91Csv-CMPN001x13_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp001556435
97Csv-CMPN001x17_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp001556435
98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	ilei
