genome_id	species
SAMN26876551	parasanguinis_I
SAMN26876576	parasanguinis_I
SAMN41328233	parasanguinis_I
SAMD00793724	salivarius
SAMEA104055293	salivarius
SAMEA104138632	salivarius
SAMEA104138633	salivarius
SAMEA104138634	salivarius
SAMEA104138635	salivarius
SAMEA104138636	salivarius
SAMEA104138637	salivarius
SAMEA104138638	salivarius
SAMEA104138641	salivarius
SAMEA104428617	salivarius
SAMEA111346957	salivarius
SAMEA111506114	salivarius
SAMEA112824118	salivarius
SAMEA112824120	salivarius
SAMEA114276590	salivarius
SAMEA114276592	salivarius
SAMEA114309597	salivarius
SAMEA114321088	salivarius
SAMEA114539087	salivarius
SAMEA114539227	salivarius
SAMEA114539251	salivarius
SAMEA114539254	salivarius
SAMEA114539261	salivarius
SAMEA115092700	salivarius
SAMEA115092756	salivarius
SAMEA115106832	salivarius
SAMEA115106834	salivarius
SAMEA115875241	salivarius
SAMEA117660279	salivarius
SAMEA3712933	salivarius
SAMEA3712952	salivarius
SAMEA3882093	salivarius
SAMEA4027254	salivarius
SAMEA4362449	salivarius
SAMEA4555980	salivarius
SAMEA4556013	salivarius
SAMEA4655553	salivarius
SAMEA4655644	salivarius
SAMEA4655659	salivarius
SAMEA5390801	salivarius
SAMEA5390805	salivarius
SAMEA5390809	salivarius
SAMEA5390811	salivarius
SAMEA5390812	salivarius
SAMEA5390814	salivarius
SAMEA5390816	salivarius
SAMEA5390818	salivarius
SAMEA5390820	salivarius
SAMEA5390865	salivarius
SAMEA5390868	salivarius
SAMEA5390882	salivarius
SAMEA5390886	salivarius
SAMEA5390888	salivarius
SAMEA5390891	salivarius
SAMEA5390894	salivarius
SAMEA5390899	salivarius
SAMEA5390906	salivarius
SAMEA5390909	salivarius
SAMEA5390915	salivarius
SAMEA6516818	salivarius
SAMEA6647150	salivarius
SAMEA6647151	salivarius
SAMEA6647152	salivarius
SAMEA6647153	salivarius
SAMEA6647157	salivarius
SAMEA6647159	salivarius
SAMEA6647160	salivarius
SAMEA6647161	salivarius
SAMEA6647162	salivarius
SAMEA6647163	salivarius
SAMEA6647164	salivarius
SAMEA6647165	salivarius
SAMEA6647166	salivarius
SAMEA6647168	salivarius
SAMEA6647169	salivarius
SAMEA7510345	salivarius
SAMEA7510346	salivarius
SAMEA7510347	salivarius
SAMEA7510348	salivarius
SAMEA7510349	salivarius
SAMEA7704723	salivarius
SAMEA9956575	salivarius
SAMEA9956645	salivarius
SAMEA9956667	salivarius
SAMEA9956669	salivarius
SAMN02344625	salivarius
SAMN02471219	salivarius
SAMN03140396	salivarius
SAMN03196965	salivarius
SAMN03197239	salivarius
SAMN03197931	salivarius
SAMN04477505	salivarius
SAMN04480045	salivarius
SAMN04480405	salivarius
SAMN04498582	salivarius
SAMN04498650	salivarius
SAMN05421814	salivarius
SAMN09631759	salivarius
SAMN10174755	salivarius
SAMN10239557	salivarius
SAMN11056486	salivarius
SAMN11849392	salivarius
SAMN11849393	salivarius
SAMN11849397	salivarius
SAMN11849398	salivarius
SAMN11849399	salivarius
SAMN11849400	salivarius
SAMN11849401	salivarius
SAMN11849403	salivarius
SAMN11849405	salivarius
SAMN11849408	salivarius
SAMN11849409	salivarius
SAMN11849417	salivarius
SAMN11849419	salivarius
SAMN11849421	salivarius
SAMN11849422	salivarius
SAMN11849423	salivarius
SAMN11849424	salivarius
SAMN11849425	salivarius
SAMN11849426	salivarius
SAMN12251081	salivarius
SAMN14086913	salivarius
SAMN15048692	salivarius
SAMN19249663	salivarius
SAMN19328836	salivarius
SAMN26876534	salivarius
SAMN26876591	salivarius
SAMN26876592	salivarius
SAMN29228665	salivarius
SAMN29228697	salivarius
SAMN30578102	salivarius
SAMN30578103	salivarius
SAMN30578104	salivarius
SAMN30578105	salivarius
SAMN30578106	salivarius
SAMN30578108	salivarius
SAMN30578109	salivarius
SAMN30578110	salivarius
SAMN37326959	salivarius
SAMN41327335	salivarius
SAMN41327393	salivarius
SAMN41327480	salivarius
SAMN41327635	salivarius
SAMN41327658	salivarius
SAMN41327946	salivarius
SAMN41327949	salivarius
SAMN41328034	salivarius
SAMN41328075	salivarius
SAMN41328079	salivarius
SAMN41328276	salivarius
SAMN41328401	salivarius
SAMN41328497	salivarius
SAMN41328510	salivarius
SAMN41328522	salivarius
SAMN41328533	salivarius
SAMN41328578	salivarius
SAMN41328579	salivarius
SAMN41328599	salivarius
SAMN41328600	salivarius
SAMN41328611	salivarius
SAMN41328612	salivarius
SAMN41328623	salivarius
SAMN41328894	salivarius
SAMN41328934	salivarius
SAMN41329241	salivarius
SAMN41329274	salivarius
SAMN41336161	salivarius
SAMN41336296	salivarius
SAMN41336781	salivarius
SAMN41336935	salivarius
SAMN41337062	salivarius
SAMN41594651	salivarius
SAMN41594653	salivarius
SAMN41594714	salivarius
SAMN41594715	salivarius
SAMN41594789	salivarius
SAMN41594790	salivarius
SAMN44729552	salivarius
SAMEA104055231	sanguinis
SAMEA104055232	sanguinis
SAMEA104055247	sanguinis
SAMEA104138644	sanguinis
SAMEA104138645	sanguinis
SAMEA104138646	sanguinis
SAMEA111504673	sanguinis
SAMEA112750618	sanguinis
SAMEA114552321	sanguinis
SAMEA115092472	sanguinis
SAMEA117660697	sanguinis
SAMEA3882109	sanguinis
SAMEA4555988	sanguinis
SAMEA4928789	sanguinis
SAMEA5192267	sanguinis
SAMEA5192268	sanguinis
SAMEA5192270	sanguinis
SAMEA5192271	sanguinis
SAMEA5192272	sanguinis
SAMEA5192273	sanguinis
SAMEA5192274	sanguinis
SAMEA5192276	sanguinis
SAMEA5192280	sanguinis
SAMEA5192281	sanguinis
SAMEA5192282	sanguinis
SAMEA5192283	sanguinis
SAMEA5979909	sanguinis
SAMEA9956662	sanguinis
SAMN00828791	sanguinis
SAMN01162043	sanguinis
SAMN03197408	sanguinis
SAMN09631753	sanguinis
SAMN09631761	sanguinis
SAMN09631765	sanguinis
SAMN09631767	sanguinis
SAMN09631770	sanguinis
SAMN09631771	sanguinis
SAMN09631772	sanguinis
SAMN09631773	sanguinis
SAMN09631784	sanguinis
